"week","word","pos","clue","syllable_count","syllable_division"
"Week 5","video game","","電子遊戲 (ㄉㄧㄢˋ ㄗˇ ㄧㄡˊ ㄒㄧˋ)","4","vid-e-o game"
"Week 5","robot","","機器人 (ㄐㄧ ㄑㄧˋ ㄖㄣˊ)","2","ro-bot"
"Week 5","skateboard","","滑板 (ㄏㄨㄚˊ ㄅㄢˇ)","2","skate-board"
"Week 5","yo-yo","","溜溜球 (ㄌㄧㄡ ㄌㄧㄡ ㄑㄧㄡˊ)","2","yo-yo"
"Week 6","turtle","","烏龜 (ㄨ ㄍㄨㄟ)","2","tur-tle"
"Week 6","fish","","魚 (ㄩˊ)","1","fish"
"Week 6","bird","","鳥 (ㄋㄧㄠˇ)","1","bird"
"Week 6","cat","","貓 (ㄇㄠ)","1","cat"
"Week 6","dog","","狗 (ㄍㄡˇ)","1","dog"
"Week 6","rabbit","","兔子 (ㄊㄨˋ ㄗ˙)","2","rab-bit"
"Week 6","elephant","","大象 (ㄉㄚˋ ㄒㄧㄤˋ)","3","el-e-phant"
"Week 6","giraffe","","長頸鹿 (ㄔㄤˊ ㄐㄧㄥˇ ㄌㄨˋ)","2","gi-raffe"
"Week 6","lion","","獅子 (ㄕ ㄗ˙)","2","li-on"
"Week 6","monkey","","猴子 (ㄏㄡˊ ㄗ˙)","2","mon-key"
"Week 6","snake","","蛇 (ㄕㄜˊ)","1","snake"
"Week 6","zebra","","斑馬 (ㄅㄢ ㄇㄚˇ)","2","ze-bra"
"Week 7","cake","","蛋糕 (ㄉㄢˋ ㄍㄠ)","1","cake"
"Week 7","milk","","牛奶 (ㄋㄧㄡˊ ㄋㄞˇ)","1","milk"
"Week 7","orange juice","","柳橙汁 (ㄌㄧㄡˇ ㄔㄥˊ ㄓ)","3","or-ange juice"
"Week 7","ice cream","","冰淇淋 (ㄅㄧㄥ ㄑㄧˊ ㄌㄧㄣˊ)","2","ice cream"
"Week 7","yogurt","","優格 (ㄧㄡ ㄍㄜˊ)","2","yo-gurt"
"Week 7","cheese","","起司 (ㄑㄧˇ ㄙ)","1","cheese"
"Week 7","fish","","魚 (ㄩˊ)","1","fish"
"Week 7","bread","","麵包 (ㄇㄧㄢˋ ㄅㄠ)","1","bread"
"Week 7","salad","","沙拉 (ㄕㄚ ㄌㄚ)","2","sal-ad"
"Week 7","pizza","","披薩 (ㄆㄧ ㄙㄚˋ)","2","piz-za"
"Week 7","soup","","湯 (ㄊㄤ)","1","soup"
"Week 7","rice","","飯 (ㄈㄢˋ)","1","rice"
"Week 8","read","","讀 (ㄉㄨˊ)","1","read"
"Week 8","talk","","說話 (ㄕㄨㄛ ㄏㄨㄚˋ)","1","talk"
"Week 8","walk","","走 (ㄗㄡˇ)","1","walk"
"Week 8","run","","跑 (ㄆㄠˇ)","1","run"
"Week 8","catch","","接 (ㄐㄧㄝ)","1","catch"
"Week 8","throw","","丟 (ㄉㄧㄡ)","1","throw"
"Week 8","clap","","拍手 (ㄆㄞ ㄕㄡˇ)","1","clap"
"Week 8","dance","","跳舞 (ㄊㄧㄠˋ ㄨˇ)","1","dance"
"Week 8","draw","","畫 (ㄏㄨㄚˋ)","1","draw"
"Week 8","jump","","跳 (ㄊㄧㄠˋ)","1","jump"
"Week 8","paint","","畫畫 (ㄏㄨㄚˋ ㄏㄨㄚˋ)","1","paint"
"Week 8","sing","","唱歌 (ㄔㄤˋ ㄍㄜ)","1","sing"
